Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Agropyron repens,G,0.30,1.74,0.251,-0.009,,,,
Andropogon gerardi,G,0.00,1.69,0.226,-0.083,,,,
Bromus inermis,G,0.30,1.75,0.202,-0.051,,,,
Koeleria cristata,G,0.00,1.97,0.181,0.152,,,,
Schizachyrium scoparium,G,0.00,1.68,0.177,-0.145,,,,
Sorghastrum nutans,G,0.30,1.74,0.294,0.037,,,,
Andropogon gerardii,G,,,,,,,,
Dichanthelium oligosanthe,G,,,,,,,,
Panicum virgatum,G,,,,,,,,
Poa pratensis,G,,,,,,,,
Schyzachyrium scoparius,G,,,,,,,,
Sorghastrum nutans,G,,,,,,,,
Sporobolus heterolepis,G,,,,,,,,
Phragmites australis,G,,1.74,,,,,,
Agrostis tenuis,G,,1.60,,,,,,
Anthoxanthum odoratum,G,,1.52,,,,,,
Holcus lanatus,G,,1.42,,,,,,
Carex lasiocarpa,G,,1.96,,,,,,
Carex nigra,G,,1.77,,,,,,
Juncus subnodulosus,G,,2.12,,,,,,
Phragmites australis,G,,1.63,,,,,,
Brachypodium pinnatum,G,,1.66,,,,,,
Carex flacca,G,,1.82,,,,,,
Carex pilulifera,G,,1.68,,,,,,
Deschampsia flexuosa,G,,1.76,,,,,,
Molinia caerulea,G,,1.64,,,,,,
Festuca rubra,G,,1.89,,,,,,
Carex panicea,G,,1.64,,,,,,
Molinia caerulea,G,,1.67,,,,,,
Achnatherum splendens,G,,2.08,,,,,,
Carex dimorphotheca,G,,1.71,,,,,,
Carex orbicularis,G,,1.91,,,,,,
Carex pseudofoetida,G,,1.72,,,,,,
Elymus nutans,G,,1.70,,,,,,
Hordeum turkestanicum,G,,1.66,,,,,,
Kobresia capilliformis,G,,1.61,,,,,,
Leymus pubescens,G,,1.98,,,,,,
Stipa orientalis,G,,1.55,,,,,,
Calamagrostis anthoxanthoides,G,,1.70,,,,,,
Carex melanantha,G,,1.78,,,,,,
Carex stenocarpa,G,,1.64,,,,,,
Dactylis glomerata,G,,1.66,,,,,,
Phleum pratense,G,,1.76,,,,,,
Hypolaena fastigiata,G,,2.68,-0.260,0.418,,,,
Lepidosperma carphoides,G,,2.64,-0.244,0.394,,,,
Lepidosperma laterale,G,,2.64,-0.131,0.508,,,,
Lepidosperma laterale,G,,2.59,-0.347,0.238,,,,
Lepidosperma semiteres,G,,2.66,-0.260,0.398,,,,
Agropyron repens,G,0.24,1.79,0.391,0.201,,,,
Agrostis scabra,G,,1.93,0.190,0.155,,,,
Andropogon gerardi,G,0.38,1.99,0.093,0.097,,,,
Bouteloua curtipendula,G,,2.02,0.049,0.107,,,,
Calamovilfa longifolia,G,,2.14,0.246,0.433,,,,
Koeleria cristata,G,0.49,2.14,0.201,0.346,,,,
Panicum capillare,G,,1.82,0.250,0.076,,,,
Panicum virgatum,G,,1.99,0.207,0.217,,,,
Poa pratensis,G,0.48,2.00,0.220,0.260,,,,
Schizachyrium scoparium,G,0.38,1.82,0.017,-0.161,,,,
Sorghastrum nutans,G,0.29,1.98,0.143,0.140,,,,
Stipa spartea,G,,2.15,0.258,0.427,,,,
Lyginia barbata,G,1.66,2.83,-0.146,0.684,,,,
Triodia scabra,G,,2.59,-0.056,0.530,,,,
Arctagrostis latifolia,G,0.56,2.11,0.301,0.415,,,,
Calamagrostis canadensis,G,0.56,2.23,0.362,0.592,,,,
Calamagrostis purpuras,G,0.56,,,,,,,
Carex aquatilis,G,0.56,1.98,0.301,0.286,,,,
Carex bigelowii,G,0.56,2.04,0.237,0.278,,,,
Eriophorum angustifolium,G,0.56,2.11,0.204,0.311,,,,
Eriophorum triste,G,1.12,2.16,0.204,0.368,,,,
Eriophorum vaginatum,G,1.12,2.20,0.253,0.448,,,,
Hierochloe alpina,G,0.56,2.23,0.301,0.532,,,,
Juncus biglumis,G,0.56,2.30,0.193,-0.506,,,,
Luzula arctica,G,0.56,2.02,0.173,0.194,,,,
Luzula confusa,G,0.56,,,,,,,
Poa arctica,G,0.56,2.01,0.143,0.152,,,,
Poa glauca,G,0.56,2.10,-0.301,-0.201,,,,
Trichophorum caespitos,G,0.56,2.19,0.369,0.562,,,,
Freycinetia arborea,H,,1.78,0.281,0.066,,,,
Peperomia sp,H,,1.57,0.338,-0.091,,,,
Achillea erba,H,0.36,1.65,0.665,0.318,,,,
Arabis alpina,H,,1.58,0.468,0.043,,,,
Arabis caerulea,H,,1.68,0.505,0.175,,,,
Artemisia genipi,H,,1.62,0.474,0.089,,,,
Campanula barbata,H,,1.72,0.356,0.082,,,,
Cerastium uniflorum,H,,1.50,0.417,-0.110,,,,
Doronicum clusii,H,0.25,1.69,0.606,0.295,,,,
Erigeron uniflorus,H,0.41,1.68,0.519,0.194,,,,
Gentiana bavarica,H,,1.77,0.210,0.004,,,,
Gentiana kochiana,H,,1.82,0.134,-0.010,,,,
Geum montanum,H,0.32,1.85,0.393,0.243,,,,
Geum reptans,H,0.48,1.85,0.413,0.254,,,,
Leontodon hispidus,H,,1.70,0.501,0.170,,,,
Leucanthemopsis alpina,H,0.42,1.80,0.373,0.175,,,,
Ligusticum mutellina,H,0.40,1.90,0.559,0.459,,,,
Linaria alpina,H,,1.60,0.377,0.052,,,,
Oxyria digyna,H,0.20,1.41,0.658,0.063,,,,
Pedicularis asplenifolius,H,0.30,1.72,0.449,0.207,,,,
Polygonum viviparum,H,0.13,1.85,0.593,0.435,,,,
Potentilla aurea,H,,1.68,0.391,0.067,,,,
Potentilla crantzii,H,0.38,1.78,0.516,0.298,,,,
Potentilla frigida,H,,1.72,0.398,0.119,,,,
Primula glutinosa,H,0.40,1.86,0.428,0.234,,,,
Ranunculus glacialis,H,0.49,1.79,0.529,0.323,,,,
Senecio incanus,H,,1.82,0.310,0.138,,,,
Sibbaldia procumbens,H,,1.77,0.272,0.043,,,,
Taraxacum alpinum,H,0.34,1.56,0.468,0.031,,,,
Veronica alpestris,H,,1.57,0.364,-0.075,,,,
Veronica bellidioides,H,,2.00,0.076,0.081,,,,
Achillea millefolium,H,0.14,1.72,0.504,0.221,,,,
Alchemilla verticillata,H,,1.43,0.462,-0.098,,,,
Arabis hirsuta,H,,1.70,0.301,-0.004,,,,
Caltha palustris,H,0.41,1.51,,,,,,
Campanula glomerata,H,,1.57,0.431,-0.001,,,,
Carum carvi,H,0.30,1.58,0.544,0.123,,,,
Cerastium arvense,H,,2.00,0.544,0.544,,,,
Chrysanthemum leucanthemum,H,0.34,1.72,0.453,0.166,,,,
Erigeron acre,H,,1.75,0.322,0.083,,,,
Geum rivale,H,0.46,1.72,0.386,0.106,,,,
Leontodon hispidus,H,,1.64,0.301,-0.057,,,,
Lychnis flos-jovis,H,,1.65,0.146,-0.186,,,,
Polygonum bistorta,H,,1.57,0.378,-0.054,,,,
Potentilla anserina,H,0.27,1.72,0.490,0.208,,,,
Potentilla reptans,H,,1.54,0.544,0.079,,,,
Potentilla verna,H,,1.77,0.342,0.105,,,,
Primula elatior,H,0.49,1.62,0.391,0.007,,,,
Primula farinosa,H,,1.65,0.230,-0.123,,,,
Ranunculus acris,H,0.26,1.80,0.374,0.180,,,,
Ranunculus bulbosus,H,,1.75,0.464,0.184,,,,
Ranunculus ficaria,H,,1.51,0.519,0.034,,,,
Ranunculus nemorosus,H,,1.83,0.301,0.114,,,,
Taraxacum officinale,H,0.34,1.54,0.556,0.093,,,,
Trifolium repens,H,0.30,1.53,0.653,0.183,,,,
Veronica chamaedrys,H,,1.51,0.230,-0.055,,,,
Castilleja sp,H,,1.82,0.377,0.196,,,,
Geranium sp,H,,1.78,0.121,-0.101,,,,
Lachemilla sp,H,,1.97,-0.032,-0.063,,,,
Lupinus sp,H,,1.72,0.508,0.224,,,,
Plantago lanceolata,H,,1.77,0.364,0.134,,,,
Taraxacum officinale,H,,1.52,0.602,0.121,,,,
Trifolium repens,H,,1.60,0.537,0.139,,,,
Geranium confertum,H,0.53,1.90,0.405,0.308,,,,
Gunnera magellanica,H,,2.04,0.356,0.393,,,,
Halenia weddelifolia,H,,1.94,0.225,0.170,,,,
Lupinus kunthii,H,0.54,1.92,0.592,0.516,,,,
Niphogeton dissecta,H,0.81,2.10,0.449,0.549,,,,
Plantago rigida,H,,2.21,0.124,0.336,,,,
Ranunculus peruvianus,H,0.54,1.84,0.519,0.357,,,,
Senecio comosus,H,0.53,1.83,0.568,0.394,,,,
Valeriana pilosa,H,1.01,2.09,0.260,0.346,,,,
Werneria nubigena,H,0.94,2.26,0.350,0.610,,,,
Aa sp,H,,2.03,0.422,0.447,,,,
Astragalus geminiflorus,H,,2.13,0.540,0.671,,,,
Azorella pedunculata,H,,2.11,0.207,0.317,,,,
Calandrinia acaulis,H,,2.00,0.430,0.430,,,,
Cerastium mollissimum,H,0.59,1.81,0.430,0.243,,,,
Culcitium canescens,H,,2.44,0.083,0.525,,,,
Culcitium nivale,H,0.81,2.37,0.196,0.571,,,,
Culcitium reflexum,H,,2.23,0.199,0.432,,,,
Draba aretioides,H,,1.88,0.328,0.209,,,,
Erigeron ecuadoriensis,H,0.95,1.82,0.456,0.276,,,,
Gentianella numularifolia,H,,1.81,0.223,0.036,,,,
Hypochoeris sonchoides,H,0.76,1.94,0.364,0.303,,,,
Lachemilla orbiculata,H,,2.11,0.061,0.175,,,,
Nototriche phyllanthos,H,0.84,1.94,0.394,0.339,,,,
Oreomyrrhis andicola,H,0.74,2.04,0.279,0.316,,,,
Plantago nubigena,H,1.03,2.20,-0.108,0.091,,,,
Rumex acetosella,H,,1.83,0.371,0.197,,,,
Silene thysanodes,H,0.88,1.88,0.431,0.306,,,,
Werneria humilis,H,,1.99,0.161,0.148,,,,
Werneria nubigena,H,,2.20,0.155,0.354,,,,
Werneria pumila,H,0.68,2.23,0.241,0.474,,,,
Castilleja fissifolia,H,,1.68,0.143,-0.176,,,,
Cerastium mollissimum,H,,1.77,0.505,0.276,,,,
Culcitium reflexum,H,,2.29,0.164,0.457,,,,
Viola sp,H,,1.87,0.693,0.562,,,,
Bupleurum rigidum,H,,2.03,0.138,0.165,,,,
Convolvulus arvensis,H,,1.64,0.458,0.102,,,,
Crepis sancta,H,,1.58,0.277,-0.143,,,,
Crepis vesicaria,H,,1.74,0.441,0.186,,,,
Daucus carota,H,,1.89,0.441,0.330,,,,
Kickxia spuria,H,,1.46,0.342,-0.195,,,,
Medicago minima,H,,1.48,0.684,0.164,,,,
Plantago lanceloata,H,,1.80,0.254,0.055,,,,
Sanguisorba minor,H,,1.75,0.361,0.113,,,,
Scabiosa atropurpurea,H,,1.92,0.443,0.364,,,,
Urospermum dalechampii,H,,1.50,0.508,0.004,,,,
Dorycnium pentaphyllum,H,0.75,1.74,0.534,0.271,,,,
Plantago lanceloata,H,0.65,1.70,0.379,0.081,,,,
Scabiosa atropurpurea,H,,1.87,0.473,0.342,,,,
Anagallis arvensis,H,,1.40,0.460,-0.142,,,,
Bupleurum rigidum,H,0.62,1.91,0.210,0.117,,,,
Catananche coerulea,H,0.47,1.80,0.308,0.104,,,,
Convolvulus arvensis,H,,1.58,0.460,0.040,,,,
Crepis sancta,H,,1.49,0.264,-0.247,,,,
Crepis vesicaria,H,,1.59,0.328,-0.083,,,,
Daucus carota,H,0.44,1.75,0.402,0.153,,,,
Dorycnium hirsutum,H,0.52,1.68,0.504,0.180,,,,
Dorycnium pentaphyllum,H,,1.84,0.425,0.264,,,,
Echinops ritro,H,0.50,1.93,0.430,0.358,,,,
Eryngium campestre,H,0.39,1.99,0.334,0.321,,,,
Kickxia spuria,H,,1.47,0.323,-0.211,,,,
Lotus corniculatus,H,,1.68,0.487,0.171,,,,
Medicago minima,H,0.36,1.66,0.574,0.237,,,,
Plantago lanceloata,H,,1.78,0.308,0.085,,,,
Potentilla crantzii,H,0.59,1.91,0.257,0.167,,,,
Sanguisorba minor,H,0.49,1.71,0.322,0.035,,,,
Scabiosa atropurpurea,H,,1.92,0.394,0.315,,,,
Stachys officinalis,H,,1.78,0.317,0.099,,,,
Trifolium angustifolium,H,,1.66,0.512,0.175,,,,
Urospermum dalechampii,H,,1.62,0.320,-0.062,,,,
Viola scotophylla,H,0.57,1.68,0.292,-0.032,,,,
Xeranthemum inapertum,H,0.27,1.45,0.498,-0.053,,,,
Urginea maritima,H,,2.04,0.493,0.672,,,,
Avenula crassifolia,H,,1.96,0.346,0.311,,,,
Crepis triasii,H,,1.73,0.520,0.248,,,,
Delphinium pictium,H,,1.75,0.592,0.347,,,,
Dianthus rupicola,H,,2.06,0.307,0.366,,,,
Urtica atrovirens,H,,1.64,0.610,0.254,,,,
Viola jaubertiana,H,,1.72,0.562,0.284,,,,
Viola stolonifera,H,,1.59,0.622,0.211,,,,
Viola x balearica,H,,1.80,0.430,0.233,,,,
Amaranthus blitoides,H,,1.74,0.635,0.377,,,,
Amaranthus retroflexus,H,,1.77,0.407,0.177,,,,
Beta vulgaris,H,,1.71,0.581,0.560,,,,
Chenopodium album,H,,1.83,0.623,0.336,,,,
Cichorium intybus,H,,1.54,0.550,0.094,,,,
Convolvulus arvensis,H,,1.62,0.738,0.359,,,,
Datura stramonium,H,,1.68,0.757,0.607,,,,
Lavatera cretica,H,,1.68,0.702,0.382,,,,
Paeonia cambessedesii,H,,2.06,0.241,0.174,,,,
Verbascum sinuatum,H,,1.86,0.318,0.183,,,,
Ranunculus hirtus,H,,1.78,0.146,-0.075,,,,
Achillea millefolium,H,,1.69,0.359,0.052,,,,
Angelica sylvestris,H,,1.48,0.473,-0.050,,,,
Anthriscus sylvestris,H,,1.37,0.375,-0.255,,,,
Astragalus alpinus,H,,1.61,0.594,0.280,,,,
Astragalus frigidus,H,,1.67,0.704,0.378,,,,
Bartsia alpina,H,,1.86,0.420,0.276,,,,
Caltha palustris,H,,1.38,0.553,-0.066,,,,
Chamerion angustifolium,H,,1.82,0.470,0.291,,,,
Cornus suecica,H,,1.51,0.315,-0.176,,,,
Drosera rotundifolia,H,,1.40,0.079,-0.520,,,,
Euphrasia frigida,H,,1.49,0.730,0.217,,,,
Filipendula ulmaria,H,,1.55,0.444,-0.009,,,,
Geranium sylvaticum,H,,1.66,0.435,0.099,,,,
Gymnocarpium dryopteris,H,,1.45,0.217,-0.333,,,,
Lathyrus pratensis,H,,1.53,0.687,0.218,,,,
Melampyrum sylvaticum,H,,1.50,0.270,-0.233,,,,
Orthilia secunda,H,,1.75,0.273,0.019,,,,
Pedicularis lapponica,H,0.32,1.79,0.488,0.254,,,,
Pedicularis sceptrum-carolinum,H,,1.81,0.269,0.076,,,,
Pinguicula vulgaris,H,,1.22,0.200,-0.584,,,,
Polygonum viviparum,H,0.27,1.84,0.500,0.374,,,,
Rhinanthus minor,H,,1.82,0.550,0.367,,,,
Rhodiola rosea,H,,1.53,0.494,0.027,,,,
Rubus chamaemorus,H,,1.91,0.275,0.177,,,,
Rubus saxatilis,H,,1.48,0.359,-0.158,,,,
Rumex obtusififolius,H,,1.60,0.523,0.127,,,,
Solidago virgaurea,H,,1.56,0.457,0.017,,,,
Tanacetum vulgare,H,,1.69,0.423,0.112,,,,
Trifolium pratense,H,,1.41,0.674,0.081,,,,
Viccia cracca,H,,1.44,0.735,0.179,,,,
Astragalus alpinus,H,,1.66,0.750,0.412,,,,
Astragalus frigidus,H,,1.67,0.746,0.418,,,,
Bartsia alpina,H,,1.90,0.391,0.291,,,,
Oxyria digyna,H,,1.79,0.545,0.338,,,,
Pedicularis hirsuta,H,,1.69,0.442,0.135,,,,
Pedicularis lapponica,H,0.35,1.96,0.362,0.320,,,,
Polygonum viviparum,H,0.24,1.94,0.570,0.515,,,,
Potentilla crantzii,H,0.34,1.91,0.428,0.343,,,,
Ranunculus nivalis,H,0.43,1.70,0.484,0.181,,,,
Rubus chamaemorus,H,,1.90,0.415,0.318,,,,
Sibbaldia procumbens,H,0.20,1.80,0.461,0.265,,,,
Trollius europaeus,H,,1.56,0.398,-0.047,,,,
Veronica alpina,H,,1.56,0.491,0.052,,,,
Oxyria digyna,H,,1.85,0.628,0.480,,,,
Polygonum viviparum,H,,1.90,0.603,0.506,,,,
Achillea millefolium,H,0.00,1.93,0.264,0.191,,,,
Anemone cylindrica,H,,1.79,0.272,0.066,,,,
Lespedeza capitata,H,,1.80,0.452,0.250,,,,
Lupinus perennis,H,,1.73,0.515,0.246,,,,
Petalostemum villosum,H,,1.93,0.353,0.286,,,,
Solidago rigida,H,0.30,1.97,0.174,0.139,,,,
Ambrosia psilostachya,H,,,,,,,,
Artemisia ludoviciana,H,,,,,,,,
Asclepias virdaflora,H,,,,,,,,
Asclepias viridis,H,,,,,,,,
Aster oblongifolius,H,,,,,,,,
Callirhoe involucrata,H,,,,,,,,
Echinacea angustifolia,H,,,,,,,,
Kuhnia eupatorioides,H,,,,,,,,
Lespedeza capitata,H,,,,,,,,
Physalis pumila,H,,,,,,,,
Psoralea tenuiflora,H,,,,,,,,
Ruellia humilis,H,,,,,,,,
Salvia pitcheri,H,,,,,,,,
Solidago missouriensis,H,,,,,,,,
Vernonia baldwinii,H,,,,,,,,
Abronia villosa,H,,1.85,0.699,0.553,,,,
Malvastrum rotundifolium,H,,1.84,0.642,0.484,,,,
Geraea canescens,H,,1.82,0.732,0.556,,,,
Camissonia claviformis,H,,1.89,0.549,0.435,,,,
Camissonia brevipes,H,,1.87,0.436,0.305,,,,
Abutilon theophrastii,H,,1.60,0.594,0.196,,,,
Ambrosia trifida,H,,1.74,0.644,0.394,,,,
Chenopodium album,H,,1.82,0.581,0.396,,,,
Polygonum pensylvanicum,H,,1.77,0.442,0.217,,,,
Calathea inocephala,H,1.41,1.69,0.238,-0.067,,,,
Pleiostachya pruinoisa,H,1.00,1.63,0.182,-0.185,,,,
Cirsium arvense,H,,1.80,,,,,,
Epilobium lirsutum,H,,1.70,,,,,,
Urtica dioica,H,,1.63,,,,,,
Leontodon autumnalis,H,,1.49,,,,,,
Ranunculus repens,H,,1.64,,,,,,
Menyanthes trifoliata,H,,1.63,,,,,,
Potentilla palustris,H,,1.81,,,,,,
Cirsium vulgare,H,,1.71,,,,,,
Eupatorium cannabinum,H,,1.54,,,,,,
Galium aparine,H,,1.32,,,,,,
Urtica dioica,H,,1.55,,,,,,
Centaurea jacea,H,,1.73,,,,,,
Dactylorhiza maculata,H,,1.66,,,,,,
Leontodon hispidus,H,,1.57,,,,,,
Ononis repens,H,,1.64,,,,,,
Plantago lanceolata,H,,1.67,,,,,,
Rumex acetosella,H,,1.61,,,,,,
Centaurea jacea,H,,1.78,,,,,,
Leucanthemum vulgare,H,,1.84,,,,,,
Plantago lanceolata,H,,1.71,,,,,,
Trifolium pratense,H,,1.64,,,,,,
Unidentified composite,H,,1.74,,,,,,
Cirsium dissectum,H,,1.79,,,,,,
Salix repens,H,,1.85,,,,,,
Succisa pratensis,H,,1.79,,,,,,
Viola palustris,H,,1.46,,,,,,
Acantholimon diapensioides,H,,2.11,,,,,,
Allium platyspathum,H,,2.07,,,,,,
Allium sp,H,,1.55,,,,,,
Astragalus tibetanus,H,,1.62,,,,,,
Christolea crassifolia,H,,2.06,,,,,,
Corydalis stricta,H,,1.96,,,,,,
Gentiana karelinii,H,,1.63,,,,,,
Gentiana leucomelaena,H,,1.82,,,,,,
Glaux maritima,H,,1.88,,,,,,
Gypsophila capituliflora,H,,2.07,,,,,,
Halerpestes sarmentosa,H,,1.77,,,,,,
Hedysarum minjanense,H,,1.69,,,,,,
Knorringia pamiricum,H,,2.07,,,,,,
Ligularia alpigena,H,,1.81,,,,,,
Lindelofia pterocarpa,H,,1.79,,,,,,
Lomatocarpa albomarginata,H,,1.74,,,,,,
Macrotomia euchroma,H,,2.10,,,,,,
Oxytropis chiliophylla,H,,1.56,,,,,,
Oxytropis globiflora,H,,1.70,,,,,,
Parnassia laxmannii,H,,1.72,,,,,,
Pedicularis ludwigii,H,,1.85,,,,,,
Plantago arachnoidea,H,,1.88,,,,,,
Potentilla anserina,H,,1.89,,,,,,
Potentilla malacotricha,H,,1.91,,,,,,
Potentilla moorcroftii,H,,2.11,,,,,,
Potentilla multifida,H,,2.01,,,,,,
Primula algida,H,,2.05,,,,,,
Primula pamirica,H,,1.60,,,,,,
Pyrethrum djilgense,H,,2.02,,,,,,
Ranunculus krasnovii,H,,1.66,,,,,,
Ranunculus pseudohirculus,H,,1.79,,,,,,
Saussurea salsa,H,,1.88,,,,,,
Scrophularia pamirica,H,,1.87,,,,,,
Senecio krascheninnikovii,H,,1.78,,,,,,
Serratula procumbens,H,,1.91,,,,,,
Silene graminifolia,H,,1.72,,,,,,
Stellaria winkleri,H,,1.64,,,,,,
Suaeda olufsenii,H,,2.26,,,,,,
Taraxacum dissectum,H,,1.78,,,,,,
Taraxacum leucantum,H,,1.82,,,,,,
Viola tianschanica,H,,1.80,,,,,,
Zygophyllum rosowii,H,,2.21,,,,,,
Androsace akbaitalensis,H,,1.59,,,,,,
Bistorta viviparum,H,,1.91,,,,,,
Draba korshinskyi,H,,1.47,,,,,,
Draba pamirica,H,,1.82,,,,,,
Dracocephalum paulsenii,H,,1.81,,,,,,
Erigeron heterochaeta,H,,1.77,,,,,,
Erigeron poncinsii,H,,1.84,,,,,,
Lloydia serotina,H,,2.22,,,,,,
Oxygraphis glacialis,H,,1.84,,,,,,
Oxyria digyna,H,,1.65,,,,,,
Oxytropis incanescens,H,,2.01,,,,,,
Papaver involucratum,H,,1.86,,,,,,
Primula macrophylla,H,,2.03,,,,,,
Rheum spiciforme,H,,2.07,,,,,,
Rhodiola gelida,H,,1.98,,,,,,
Rhodiola pamiroalaica,H,,1.64,,,,,,
Saxifraga hirculus,H,,1.94,,,,,,
Sibbaldia tetrandra,H,,1.95,,,,,,
Smelowskia pectinata,H,,1.61,,,,,,
Swertia marginata,H,,1.74,,,,,,
Valeriana fedtschenkoi,H,,1.71,,,,,,
Chenopodium foliosum,H,,1.82,,,,,,
Geranium himalayense,H,,1.68,,,,,,
Leontopodium ochroleucum,H,,1.90,,,,,,
Potentilla pamirica,H,,2.11,,,,,,
Ranunculus rufosepalus,H,,1.74,,,,,,
Rhodiola heterodonta,H,,2.01,,,,,,
Sophiopsis annua,H,,1.90,,,,,,
Impatiens noli-tangere,H,,1.16,0.600,-0.242,,,,
Capsella bursa-pastoris,H,,1.39,0.637,0.062,,,,
Lepidium ruderale,H,,1.70,0.604,0.309,,,,
Thlaspi arvense,H,,1.61,0.606,0.213,,,,
Spergula arvensis,H,,1.95,0.471,0.322,,,,
Stellaria media,H,,1.49,0.597,-0.391,,,,
Chenopodium album,H,,1.24,0.647,0.150,,,,
Fumaria officinalis,H,,1.36,0.693,0.056,,,,
Erodium cicutarium,H,,1.26,0.294,-0.056,,,,
Polygonum aviculare,H,,1.47,0.691,0.164,,,,
Melampyrum pratense,H,,1.69,0.520,0.206,,,,
Spergularia rubra,H,,1.91,0.433,0.342,,,,
Leucanthemum vulgare,H,,1.48,0.340,-0.032,,,,
Campanula sibirica,H,,1.93,0.233,0.065,,,,
Hyoscyamus niger,H,,1.25,0.732,0.283,,,,
Aegopodium podagraria,H,,1.52,0.611,0.129,,,,
Vincetoxicum hirundinaria,H,,1.51,0.648,-0.011,,,,
Antennaria dioica,H,,1.60,0.164,-0.101,,,,
Anthemis tinctoria,H,,1.88,0.279,0.154,,,,
Arctium tomentosum,H,,1.30,0.675,0.127,,,,
Artemisia absinthium,H,,1.38,0.344,0.069,,,,
